epoch,training_loss,test_accuracy
1,1.3969565041859944,0.25609755516052246
2,1.3868677943547567,0.25609755516052246
3,1.385621509552002,0.3048780560493469
4,1.3764324423472087,0.2926829159259796
5,1.3707205893198648,0.27743902802467346
6,1.3648331851959228,0.33841463923454285
7,1.358929695447286,0.2591463327407837
8,1.346205533027649,0.31707316637039185
9,1.332300411860148,0.3231707215309143
10,1.3431517941157023,0.2621951103210449
11,1.3103581110636393,0.3231707215309143
12,1.2967042614618938,0.3353658616542816
13,1.2763699490229288,0.3109756112098694
14,1.2678211854298909,0.2835365831851959
15,1.265002226829529,0.31707316637039185
16,1.2585876728693643,0.3231707215309143
17,1.2643938191731772,0.29878050088882446
18,1.2423879124323527,0.33841463923454285
19,1.245992068608602,0.32926830649375916
20,1.22236403465271,0.2896341383457184
21,1.2282929261525473,0.3658536672592163
22,1.2169268741607666,0.3018292784690857
23,1.2108364804585774,0.29878050088882446
24,1.20812966187795,0.353658527135849
25,1.2155767841339111,0.32621949911117554
26,1.1943054399490356,0.32926830649375916
27,1.1686561574935914,0.35670730471611023
28,1.1748018147150676,0.353658527135849
29,1.1868048327763876,0.3018292784690857
30,1.1691708561579386,0.35975611209869385
31,1.162459758758545,0.32926830649375916
32,1.1592238775889079,0.33841463923454285
33,1.1428754227956137,0.34756097197532654
34,1.1154494481086732,0.3445121943950653
35,1.1166004419326783,0.36890244483947754
36,1.1098860136667887,0.32621949911117554
37,1.0991145394643147,0.37195122241973877
38,1.0967087990442912,0.34756097197532654
39,1.104438131650289,0.36890244483947754
40,1.1044213511149088,0.3445121943950653
41,1.075134433746338,0.3628048896789551
42,1.0459531672795614,0.375
43,1.0613055397669475,0.29573169350624084
44,1.0656530694961548,0.3871951103210449
45,1.0311080616315207,0.32621949911117554
46,1.0351673367818197,0.34756097197532654
47,1.0225123751958212,0.3658536672592163
48,0.9832652131716411,0.3445121943950653
49,0.9797972014745077,0.3231707215309143
50,0.9675964964230855,0.32621949911117554
51,0.9832892764409383,0.35060974955558777
52,0.9571326541900634,0.29573169350624084
53,0.9508092317581177,0.3353658616542816
54,0.95911558787028,0.3323170840740204
55,0.9559343530337016,0.3414634168148041
56,0.9213588156700134,0.35670730471611023
57,0.9166457611719767,0.31707316637039185
58,0.9262506446838379,0.3140243887901306
59,0.9012098476092021,0.3231707215309143
60,0.8815173274676005,0.32621949911117554
61,0.8685765482584635,0.33841463923454285
62,0.8403819065093994,0.30792683362960815
63,0.8229402430852254,0.33841463923454285
